COD_COLABORADOR,PRIMEIRO_NOME,ULTIMO_NOME,EMAIL,CPF,DATA_NASCIMENTO,ENDERECO,CEP,COD_GERENTE,COD_LOCALIDADE
56,Rafael,Araújo,mpeixoto@example.com,342.869.701-40,1970-04-10,"Chácara Aragão, 65
Maria Virgínia
18865-741 Nunes da Serra / AL",18374-831,57,68
57,Sabrina,Peixoto,correiasabrina@example.com,427.186.530-35,1993-05-07,"Passarela Lima
Pindorama
03591-505 da Cruz / AM",55833109,58,93
58,Rafaela,Melo,antoniodias@example.org,056.148.732-44,1976-10-06,"Colônia Ribeiro, 52
Jardim Guanabara
37473-593 Caldeira / AL",96646-418,59,34
59,Clara,Fogaça,das-nevesrenan@example.com,257.638.910-40,1987-10-29,"Campo Miguel da Rocha, 82
Vila Piratininga Venda Nova
82339080 Rodrigues / MT",41861891,60,502
60,Olivia,Rezende,marianesantos@example.org,249.783.650-74,1968-05-11,"Conjunto Enrico da Rocha
Vila Boa Vista
41497222 Souza Paulista / AM",81136-107,61,127
61,Pedro,Ferreira,luiz-miguel90@example.net,861.509.374-10,1982-08-08,"Estação de Moura, 3
Paquetá
92408-486 Rocha da Serra / MA",33051-047,62,386
62,Vitor Gabriel,Pinto,isadoramonteiro@example.org,581.234.697-64,1978-07-01,"Largo de Viana, 38
Campo Alegre
94139584 Melo de Fogaça / CE",08729-393,63,222
63,Pedro Lucas,Melo,maria-eduardaribeiro@example.net,056.371.892-77,1974-11-27,"Travessa Theo Pires, 23
Centro
93778453 das Neves Paulista / RS",37649421,64,846
64,Gabrielly,Souza,da-cunhamaria-cecilia@example.org,126.054.893-70,1968-07-02,"Estrada Rafaela Duarte, 63
Jonas Veiga
06524-247 Nascimento / PR",4950878,65,658
65,Bárbara,Jesus,dgomes@example.net,326.591.704-52,1975-12-18,"Vale Vinicius Gonçalves, 52
Cidade Jardim Taquaril
43057180 Ferreira / RO",15068-088,66,768
66,Alexandre,Barros,salesmaria-vitoria@example.net,657.914.238-37,1982-11-23,"Recanto da Mata, 91
Santo Agostinho
65408-812 Almeida / SP",15117-601,67,934
67,Isadora,Moura,crezende@example.com,916.852.047-67,1998-04-02,"Sítio Davi Lucas Dias
Araguaia
45626-130 Porto / GO",84047505,68,344
68,João Miguel,Dias,luiza33@example.net,592.403.871-88,1993-03-13,"Colônia Campos, 12
Santa Isabel
09953236 Dias Verde / PE",78961-326,69,584
69,Heloísa,Peixoto,santosleticia@example.com,294.780.561-58,1978-08-23,"Quadra de Nunes, 811
Barão Homem De Melo 1ª Seção
38454656 Carvalho de Goiás / MG",76335729,70,392
70,Esther,Gonçalves,bsouza@example.net,437.509.216-52,1965-12-20,"Loteamento de Gonçalves, 7
Vila São Gabriel
92098348 da Rosa / SE",46480-056,71,910
71,Evelyn,da Luz,yasmin12@example.com,621.849.357-19,1993-12-25,"Travessa de Duarte, 18
Juliana
88043776 da Rocha Verde / PE",39104-030,72,580
72,Júlia,Farias,mnunes@example.com,874.920.136-04,1994-10-17,"Avenida Fernanda Teixeira, 83
Marieta 1ª Seção
52427-851 Martins / MS",47779-905,73,449
73,Sarah,Silveira,lorenzo37@example.com,753.069.148-10,1971-10-16,"Loteamento de Araújo, 45
Conjunto São Francisco De Assis
97215561 Cardoso do Norte / RS",38887116,74,837
74,Alexandre,Rodrigues,araujosamuel@example.org,426.513.890-05,1983-04-18,"Chácara Araújo, 822
Cônego Pinheiro 2ª Seção
98077561 Mendes do Sul / PE",82528092,75,596
75,Heloísa,Barbosa,diasemanuella@example.net,938.740.126-03,1981-06-26,"Aeroporto João Lucas Nascimento
Vila Cemig
29655-367 Santos de Moraes / MA",29688442,76,388
76,Thomas,da Mota,agathaaragao@example.org,630.942.158-15,1974-01-02,"Ladeira de da Mata, 27
Braúnas
15164977 Duarte / MA",40692-164,77,367
77,Henrique,Rocha,da-motacaroline@example.net,214.983.570-32,1979-04-11,"Praça Renan Azevedo, 81
Santa Monica
89075-280 Lopes Grande / CE",99770-155,78,220
78,Clara,da Conceição,zda-rosa@example.net,423.796.501-52,1981-02-09,"Chácara Alice Moreira, 37
Maria Tereza
90390-919 Melo da Mata / SP",36751-671,79,959
79,Eduarda,Araújo,lucca28@example.net,283.047.569-00,1996-08-10,"Feira Fernandes, 885
Chácara Leonina
38841418 Gomes das Pedras / TO",28236796,80,1006
80,Bruna,Almeida,salesdiego@example.org,123.874.560-17,1976-01-06,"Esplanada de da Conceição, 242
Mangueiras
17069-732 Duarte / ES",60475820,81,296
81,Guilherme,Pires,pda-mata@example.net,032.951.687-68,1982-10-29,"Quadra de Dias, 24
Marieta 2ª Seção
04775-740 Correia / SP",51734-898,82,944
82,Bianca,Silva,anajesus@example.org,706.489.523-47,1966-09-05,"Vale da Costa, 17
Ambrosina
67880-340 da Cruz / TO",76665924,83,996
83,Brenda,Costela,ocosta@example.org,394.078.615-20,1980-08-01,"Residencial Pinto, 82
Vila Batik
92653-336 da Rocha do Oeste / RJ",54748154,84,679
84,Maria Clara,Correia,joao-miguelrezende@example.com,691.237.405-07,1985-07-13,"Favela Thiago Moura, 85
Oeste
77279412 Mendes / BA",81727019,85,183
85,Vitor Gabriel,Sales,luana72@example.org,279.508.361-21,1985-05-01,"Rodovia Farias
Mirante
23244-660 Freitas / RR",62167249,86,801
86,Maria Julia,Moreira,amanda67@example.net,891.506.743-66,1979-09-09,"Parque Gonçalves, 647
Paquetá
88014-508 Teixeira de Minas / SP",19201782,87,976
87,Stella,Ferreira,julianogueira@example.com,180.625.794-76,1968-04-19,"Área de Moraes, 764
Vila São Gabriel
07710384 Ramos da Prata / PI",27689393,88,630
88,Evelyn,Campos,lda-cunha@example.org,745.820.193-23,1969-05-06,"Viela Davi Costa
Vila Antena
21633-580 Castro / MS",6507901,89,428
89,Leonardo,Ramos,zduarte@example.com,428.517.390-50,1990-10-25,"Área Ana Júlia Ribeiro, 26
Vila Piratininga Venda Nova
07251-387 Carvalho de Freitas / RN",46109-317,90,713
90,Lara,da Cunha,fernandesthiago@example.net,073.942.581-14,1980-10-24,"Largo Gabrielly Costa
São João Batista
35709941 Cunha / AM",64788095,91,91
91,Lucas Gabriel,Cardoso,ana-liviadias@example.com,702.194.568-01,1997-06-29,"Quadra Barbosa, 474
Vila Piratininga
04901752 Dias / RO",70492264,92,766
92,Fernando,Fernandes,alexandre21@example.com,430.765.892-29,1981-05-19,"Chácara Melissa Moraes, 35
Sport Club
91001556 Nascimento Alegre / SC",51032234,93,892
93,Catarina,Duarte,da-rosaluiz-fernando@example.com,459.820.731-05,1965-11-18,"Estação Eloah Sales
Dom Bosco
08583-640 Cavalcanti / PE",40912562,94,569
94,Kaique,Gomes,gustavocunha@example.net,352.106.794-70,1965-05-01,"Morro de Gomes, 626
Vila Aeroporto
16537859 Araújo dos Dourados / SC",60201-093,95,871
95,Mirella,da Costa,goncalvesmaria-vitoria@example.net,957.632.840-38,1971-10-27,"Conjunto Costela, 66
Bacurau
82147-805 Barbosa / MT",72561038,96,467
96,Gabrielly,Gomes,melissa91@example.net,571.408.629-58,1975-09-01,"Setor Kamilly Rodrigues, 7
Jardim América
58142-620 Sales do Norte / SC",37897353,97,896
97,Joaquim,Fogaça,nina76@example.com,573.961.248-91,1987-07-10,"Parque de Rodrigues, 29
Silveira
62037561 Novaes de Silveira / TO",72343-058,98,1017
98,Luiz Miguel,Castro,alicia50@example.com,621.307.948-31,1992-06-24,"Núcleo Cardoso, 99
Caiçaras
03351735 Cardoso das Flores / AP",01053-536,99,134
99,Eduarda,da Rocha,pcardoso@example.com,721.849.603-22,1979-01-13,"Praia Leandro Martins
Vila De Sá
13060867 Porto / RR",5217057,100,818
100,Rebeca,Azevedo,rlopes@example.net,125.690.487-20,1996-12-03,"Avenida Larissa Castro, 15
Jardim Vitoria
20076-943 Moura / AP",32781589,101,149
